Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas796                Pavarde796                        1         8         3         1         3         5         5        10
Vardas797                Pavarde797                        9         6         1         4         1         6         4         3
Vardas798                Pavarde798                       10         7         4         1        10         9         8         1
Vardas799                Pavarde799                        2         7         5         9         8         3         9         1
Vardas800                Pavarde800                        1         1         1        10         1        10         6         9
Vardas801                Pavarde801                        9        10         1         1         5         8         3         5
Vardas802                Pavarde802                        5         6         5         2        10         1        10        10
Vardas803                Pavarde803                        8         6         5         8         3         3         4         8
Vardas804                Pavarde804                        2         5         3         4        10         9         3         3
Vardas805                Pavarde805                        1         6         8         1         7         5         8         1
Vardas806                Pavarde806                        7         6         1         9         2         8         6         3
Vardas807                Pavarde807                        7         8         2         5         6         6        10         5
Vardas808                Pavarde808                        4         1        10        10         2        10         9         2
Vardas809                Pavarde809                       10         2         3         4         7         8        10         3
Vardas810                Pavarde810                        6         2         4         5         2         6         3         9
Vardas811                Pavarde811                        2         2         3         9         3         8         8         2
Vardas812                Pavarde812                       10         3         3         4         6         7         7         9
Vardas813                Pavarde813                        8         4         1        10         3         8         1         4
Vardas814                Pavarde814                        8        10        10         6         4         4         2         1
Vardas815                Pavarde815                        3         5         2         4         7         8         6         2
Vardas816                Pavarde816                        5         2         7        10         1         8         2         8
Vardas817                Pavarde817                        4         2         1         3         5         5        10         5
Vardas818                Pavarde818                       10         8         4         9         3         6         6         8
Vardas819                Pavarde819                        4         9         8         5         6         2         6         6
Vardas820                Pavarde820                        1         2         7        10         8         5         4        10
Vardas821                Pavarde821                        5         8         6         4         2        10         7         4
Vardas822                Pavarde822                        1         4         3         4         2        10         5        10
Vardas823                Pavarde823                        5         2         2         5         7         5         7        10
Vardas824                Pavarde824                        4        10         3        10         6         9         5         3
Vardas825                Pavarde825                       10        10         9         9         1         9         9         7
Vardas826                Pavarde826                        6         2         1         5         7         5         3         7
Vardas827                Pavarde827                        8         9         6        10         4         5         4         7
Vardas828                Pavarde828                        8         8         3         9         2         9         4         9
Vardas829                Pavarde829                        6         1         5         2         2         6        10         7
Vardas830                Pavarde830                        9         5        10         5         5         3         6         4
Vardas831                Pavarde831                        6         2         5         5         2        10         3         6
Vardas832                Pavarde832                        6         8         2         3         7         6         4         7
Vardas833                Pavarde833                       10         2         9         9         8         5        10         8
Vardas834                Pavarde834                        4         6         9         7         9         4         8         8
Vardas835                Pavarde835                        4        10         4         7         8         7         2         7
Vardas836                Pavarde836                        3         8         5         1         2         7         6         2
Vardas837                Pavarde837                        3         9         7         8         5         1         9        10
Vardas838                Pavarde838                       10        10         6         9         3         4         8         1
Vardas839                Pavarde839                        9         6         5         3         2         7         4         2
Vardas840                Pavarde840                        7        10         9         4         5         4         6         9
Vardas841                Pavarde841                        7         5         6         1         6         8         3         7
Vardas842                Pavarde842                        8         2         3         8         7         9         1         2
Vardas843                Pavarde843                        8         3        10        10         7         8         9         2
Vardas844                Pavarde844                        5         5         8         1         3         3         7         4
Vardas845                Pavarde845                        6         5         9         3         2         8         3         2
Vardas846                Pavarde846                        8         1        10         3         9         6         9         2
Vardas847                Pavarde847                        2         4         1         7         3         5         4         4
Vardas848                Pavarde848                       10        10         3        10         5         4         1         2
Vardas849                Pavarde849                        2         6         3         9         7         3         8         2
Vardas850                Pavarde850                        3        10         2         7         7         5         6         4
Vardas851                Pavarde851                        1         3         7         7         9         4         3         8
Vardas852                Pavarde852                        9         5         2         9         5         6        10         8
Vardas853                Pavarde853                       10         4         8         7         1         3         2         7
Vardas854                Pavarde854                        7         1        10         2         9         9         7         3
Vardas855                Pavarde855                        5         6         1         3         6         5         9         9
Vardas856                Pavarde856                       10         8         3         1         3         6         8         3
Vardas857                Pavarde857                        3         3        10        10         4        10         6         6
Vardas858                Pavarde858                        7         6         6         8         8         6         9         5
Vardas859                Pavarde859                        1         5         3         3         9         4         6         5
Vardas860                Pavarde860                        6         6         4         4         5         9         7         8
Vardas861                Pavarde861                        6         8         7        10         6         5         1         1
Vardas862                Pavarde862                        1         3         2        10         1         1        10         1
Vardas863                Pavarde863                        1         4         7         8         3         9         2         6
Vardas864                Pavarde864                        2         7         1        10         8         3         7         2
Vardas865                Pavarde865                        3         5         8         6         9        10         5         5
Vardas866                Pavarde866                        2         1         1         5         4        10         8         4
Vardas867                Pavarde867                        1         8        10        10         7        10         9         4
Vardas868                Pavarde868                        6         4         5         1         3         2        10         4
Vardas869                Pavarde869                        8         9         8         7         7         3        10         2
Vardas870                Pavarde870                        7         6         1         1         3         7        10         8
Vardas871                Pavarde871                        4         2         8         9         6         5         1         5
Vardas872                Pavarde872                        9        10         3         5         7         8         4         2
Vardas873                Pavarde873                       10         2         7         2         4        10        10         1
Vardas874                Pavarde874                        5         2         2        10        10         6         5         3
Vardas875                Pavarde875                        9         3         7         9         9         5         6         7
Vardas876                Pavarde876                        7         9         5        10         7         1        10         8
Vardas877                Pavarde877                        4         8         2         1         9         5         8         2
Vardas878                Pavarde878                        2         2         7         2         9         9         2         1
Vardas879                Pavarde879                        6         8         8         8         4         5        10         1
Vardas880                Pavarde880                        9         4         9         7         8         8         9         8
Vardas881                Pavarde881                        8         4         4         8         5         8         4         2
Vardas882                Pavarde882                        8        10         4        10         2         5         2         5
Vardas883                Pavarde883                        3         7         8         5         5         6         3         3
Vardas884                Pavarde884                        7         7         9         8        10         5         7         4
Vardas885                Pavarde885                        8         3         4         4         1         6         5         4
Vardas886                Pavarde886                        4         6         7         1         2         7         1         6
Vardas887                Pavarde887                        8         9         1         7         3         4         2         1
Vardas888                Pavarde888                        9        10         2         4         7         8        10         2
Vardas889                Pavarde889                        4         6        10         7        10         1         7         8
Vardas890                Pavarde890                        9         1         9         5         4        10         5         8
Vardas891                Pavarde891                       10         5         4         8         7         2        10         9
Vardas892                Pavarde892                        4        10         6         3         4         8        10         7
Vardas893                Pavarde893                       10         2        10         8         4         8         7        10
Vardas894                Pavarde894                       10         1         7         9         2         8         4         6
Vardas895                Pavarde895                        1         6         8         6         2         6         6         9
Vardas896                Pavarde896                        9        10        10         7        10         8         1         7
Vardas897                Pavarde897                        2         6         2         3         2         9         2         7
Vardas898                Pavarde898                        3        10         4         3         9         6         3         8
Vardas899                Pavarde899                        3         4         1        10         1         8         1         3
Vardas900                Pavarde900                        6        10        10         5         3        10        10        10
Vardas901                Pavarde901                        4         5         2         8         7         8         3        10
Vardas902                Pavarde902                        7         4         8         8         6         3         1         7
Vardas903                Pavarde903                        2         5         2         5        10         1        10         8
Vardas904                Pavarde904                        5         9         7         7         8         6         2         6
Vardas905                Pavarde905                       10        10        10         6         6         5         8         7
Vardas906                Pavarde906                        1         3         6         2         3         7         9         9
Vardas907                Pavarde907                        3         7         1         6         8        10         4         8
Vardas908                Pavarde908                        8         1         4         4         9         1         1         8
Vardas909                Pavarde909                        4         1         4         9         6         3         9         5
Vardas910                Pavarde910                        6         8         7         6         6         6         1         4
Vardas911                Pavarde911                        2         7         8         4         3         8        10         3
Vardas912                Pavarde912                        6        10         5         1         3         5         7         9
Vardas913                Pavarde913                        9         3         9         5         6         9        10         2
Vardas914                Pavarde914                        8         1         2         9        10        10         5         6
Vardas915                Pavarde915                        7         2         8         1         8         2         2         5
Vardas916                Pavarde916                        1         3         4         6         2         6         7         8
Vardas917                Pavarde917                        2         1         4        10         7        10         2         2
Vardas918                Pavarde918                        6         4         7         6         5         3         9         8
Vardas919                Pavarde919                        3         7         9         5         3        10         2         1
Vardas920                Pavarde920                        8         9         8        10         3         4         2         9
Vardas921                Pavarde921                        2         3         3         9         8         7         5         2
Vardas922                Pavarde922                        6         1         1         8         1         4         2         6
Vardas923                Pavarde923                        5         2         7         7         3         7         5        10
Vardas924                Pavarde924                        6        10         5         4         8         1         4         6
Vardas925                Pavarde925                        2         1         4         2         1        10         5         6
Vardas926                Pavarde926                        7         3        10         4         4         1         7         7
Vardas927                Pavarde927                        9         1         8         5        10         1         1         4
Vardas928                Pavarde928                        7         6         4         5         7         8         5         1
Vardas929                Pavarde929                        8         9         6         6         3         7        10         5
Vardas930                Pavarde930                        8         7         5        10         9        10         1         4
Vardas931                Pavarde931                        7         5         7         2         2         7         1         4
Vardas932                Pavarde932                        5         6         8         5         7         2         2         7
Vardas933                Pavarde933                        9         7         5        10         4         7         4         8
Vardas934                Pavarde934                        5         1         9         8         5         6         1         2
Vardas935                Pavarde935                        4         9        10         1         9         1         3        10
Vardas936                Pavarde936                        7         5        10        10         5        10         1         2
Vardas937                Pavarde937                        4         5         7         2         8         7         4         5
Vardas938                Pavarde938                       10         3        10         1         7         2         8         2
Vardas939                Pavarde939                        4         9         1         8        10         5         2         3
Vardas940                Pavarde940                        3         8         9         1         4         6         7         7
Vardas941                Pavarde941                        9         9         1         6         4         8        10         8
Vardas942                Pavarde942                        4         9         8         9         4         7         2         9
Vardas943                Pavarde943                        7         8         9         2         9         3         4         2
Vardas944                Pavarde944                        1         3         1         4         5         3         5         7
Vardas945                Pavarde945                        4         7         6         9         7         9         7         2
Vardas946                Pavarde946                        1         8         2         7         6         3         2         9
Vardas947                Pavarde947                        1         6         5         4         4         2         3         1
Vardas948                Pavarde948                        5         5         7         5         8         9         7         9
Vardas949                Pavarde949                        5         7        10         2         5         3         4         9
Vardas950                Pavarde950                        7         6         8         4         6         8         6         4
Vardas951                Pavarde951                        8         7         1         5         7         5         8         3
Vardas952                Pavarde952                        9         3         1         2         8         3         4         3
Vardas953                Pavarde953                        4         5         2         9         3         5         8         8
Vardas954                Pavarde954                        8         9         7         3         5         4         2         9
Vardas955                Pavarde955                        8         5         4         7         3         8         8         8
Vardas956                Pavarde956                        4         2         3         6         9         2         8         7
Vardas957                Pavarde957                       10         1         6         2         3         3         5         9
Vardas958                Pavarde958                        3         1         8        10         3         3         7         2
Vardas959                Pavarde959                        7         7         9         3         3         9         5         8
Vardas960                Pavarde960                        7         5         1        10        10         5        10         2
Vardas961                Pavarde961                        1         5         8         4         1        10         7         9
Vardas962                Pavarde962                        5         7         2         5         9         4         2         6
Vardas963                Pavarde963                        1         3         5         1         6         7         7         7
Vardas964                Pavarde964                        2         9         2         2         4         1         1         6
Vardas965                Pavarde965                        3         8         3         3        10         4         6         5
Vardas966                Pavarde966                        6         9         6         5         1         5         7         9
Vardas967                Pavarde967                       10         8         6         6         7         4         3        10
Vardas968                Pavarde968                        2         2         6         1         1         2         4         2
Vardas969                Pavarde969                        1         2         5         1         8         7         5        10
Vardas970                Pavarde970                        3         7         8         5         8        10         1         5
Vardas971                Pavarde971                        8         4         6         9         1         1         5         5
Vardas972                Pavarde972                        2         8         1         6         1         4         7         5
Vardas973                Pavarde973                        8         5         8         5         8         4         2         4
Vardas974                Pavarde974                       10         3         7         5         2         5         4         8
Vardas975                Pavarde975                        6         8         9         9         7         6         9         6
Vardas976                Pavarde976                       10         4         3         9         9         4        10         5
Vardas977                Pavarde977                        2         3         6         5         6         2         3         1
Vardas978                Pavarde978                       10         1        10         6         5        10         6         3
Vardas979                Pavarde979                       10         7         3         1         2        10         5         3
Vardas980                Pavarde980                        8         2         1         4         1         8         5         2
Vardas981                Pavarde981                        5         3         9         5        10         7         1        10
Vardas982                Pavarde982                        7         2         5         2         2         4         3         7
Vardas983                Pavarde983                        7         2         5         3         7         6         8         5
Vardas984                Pavarde984                        2         8         7         6        10         8         9         7
Vardas985                Pavarde985                        5         8        10         5         2         6         8         2
Vardas986                Pavarde986                        7         2         8         8         7         2         1         9
Vardas987                Pavarde987                        7         3        10         7        10         7         9        10
Vardas988                Pavarde988                        7         9         9         6         3         7         1         3
Vardas989                Pavarde989                        2         4         4         5         5         6        10         8
Vardas990                Pavarde990                        6         1         3         3         6         7         1         2
Vardas991                Pavarde991                        4         9         9         1        10         8         1        10
Vardas992                Pavarde992                        7         1         7         5         1         2         4         9
Vardas993                Pavarde993                        3         1        10         6        10         3         9         4
Vardas994                Pavarde994                        4         8         4         4         2        10         8         4
Vardas995                Pavarde995                       10         9         9         8         8         6         4         8
Vardas996                Pavarde996                        6         5         1         8         4         5         6         4
Vardas997                Pavarde997                        9         3         4        10         9         2         7         3
Vardas998                Pavarde998                        5        10         4         7         3         6         2        10
Vardas999                Pavarde999                        6         1         5        10         4         3        10        10
Vardas1000               Pavarde1000                       1         3         2         1        10         1         3         3
Vardas1001               Pavarde1001                      10        10         7        10         5         2         5         2
Vardas1002               Pavarde1002                       9         4         3         7         7         7         7         7
Vardas1003               Pavarde1003                       4         9         5         8         9        10         6         6
Vardas1004               Pavarde1004                       3         3         9         3         4         2         9         3
Vardas1005               Pavarde1005                       6        10         5        10         3        10         4         5
Vardas1006               Pavarde1006                       7        10         1         5         4         7         1         9
Vardas1007               Pavarde1007                       5         7         8         8         9         6         2         8
Vardas1008               Pavarde1008                       6         7         6         3         7         5         3         8
Vardas1009               Pavarde1009                       4         5         6         3        10         9         4         3
Vardas1010               Pavarde1010                       1         5         4         4         5         8         5         9
Vardas1011               Pavarde1011                       4         2         8         9         6         4         6         7
Vardas1012               Pavarde1012                      10         3         2         7         9         2         2         9
Vardas1013               Pavarde1013                       7         9         4         7         7         8         6         6
Vardas1014               Pavarde1014                       2         9         6        10         2         7         4         2
Vardas1015               Pavarde1015                       2         5         8         2         9         6         8        10
Vardas1016               Pavarde1016                       1         8         9         1         4         7         7         6
Vardas1017               Pavarde1017                       4         3         7         3         5         7        10         2
Vardas1018               Pavarde1018                       8         3         1         1         1         9         8        10
Vardas1019               Pavarde1019                       5         2         3         7         7         8         2         2
Vardas1020               Pavarde1020                       3         3         7         6         2         8         3         2
Vardas1021               Pavarde1021                      10         5         1         4         8         7         4         6
Vardas1022               Pavarde1022                       3         7         9         8         3         6         6         5
Vardas1023               Pavarde1023                       7         7         2         6         5         1         7         3
Vardas1024               Pavarde1024                       2         6         2         1         7         7         4         1
Vardas1025               Pavarde1025                       1         3         7         9         4         7         8         6
Vardas1026               Pavarde1026                       9         8         8         1         4         6         4         9
Vardas1027               Pavarde1027                       6         4         1         8         4         5         6         3
Vardas1028               Pavarde1028                       5         8         5         5         2         3        10         6
Vardas1029               Pavarde1029                       6         3         7         9         9         5         1         4
Vardas1030               Pavarde1030                       9         6         9         5        10         7         6         9
Vardas1031               Pavarde1031                       1         8         8         3         9         4         3         3
Vardas1032               Pavarde1032                       7         3         4        10        10         5         3         8
Vardas1033               Pavarde1033                       9         1         5         5         6         2         7         7
Vardas1034               Pavarde1034                       7         5         5         6         9         9         5         4
Vardas1035               Pavarde1035                       6         3         5         7        10         2         4         3
Vardas1036               Pavarde1036                       5         6         4         8         6         1        10         6
Vardas1037               Pavarde1037                       9        10         5         4         2         5         8         2
Vardas1038               Pavarde1038                       3         3         4         2        10         8         6         6
Vardas1039               Pavarde1039                      10         7         8         8         1         5         5         7
Vardas1040               Pavarde1040                       3         7         9        10         7        10         7         3
Vardas1041               Pavarde1041                      10        10        10         7        10         7         3         9
Vardas1042               Pavarde1042                       6         2         2         6         8         7         5         7
Vardas1043               Pavarde1043                       8         8         4        10        10        10         7         9
Vardas1044               Pavarde1044                      10        10         4         6         6         9         6         1
Vardas1045               Pavarde1045                       4         2         7         6         1         9         4        10
Vardas1046               Pavarde1046                       1         2         2         7         3         4         5         8
Vardas1047               Pavarde1047                       5         3         3         4         4         3        10         9
Vardas1048               Pavarde1048                       5         6         1         5         7         4        10         3
Vardas1049               Pavarde1049                       3         3         9         5         6         3         3         7
Vardas1050               Pavarde1050                       6         4         5         9         4         5         3         6
Vardas1051               Pavarde1051                       9         2         8         8        10         9         7         9
Vardas1052               Pavarde1052                       3         3         5         8         1         3         6         4
Vardas1053               Pavarde1053                       4         1         4         4         4         9         9         1
Vardas1054               Pavarde1054                       6         7         4         7         5         8         5         5
Vardas1055               Pavarde1055                      10         3         9         2        10         7         3         3
Vardas1056               Pavarde1056                       2         1         9         2         4         5         3         7
Vardas1057               Pavarde1057                       6         1         3        10         7         3        10         1
Vardas1058               Pavarde1058                       7         9        10         4         5        10         2         1
Vardas1059               Pavarde1059                       2         8         8         2         6         8         7         9
Vardas1060               Pavarde1060                       1        10         3         4        10         7         3         1
Vardas1061               Pavarde1061                       8         6         5        10         5         7         5         3
Vardas1062               Pavarde1062                       9         9         7         2         8         4         6         3
Vardas1063               Pavarde1063                       2         1         9         7         3         5        10         6
Vardas1064               Pavarde1064                      10         5         3         3        10         8         6         1
Vardas1065               Pavarde1065                       5         4         7         6        10        10         2         1
Vardas1066               Pavarde1066                       6         2         5         4         8         4         8         6
Vardas1067               Pavarde1067                       5         9        10         2         7         4         5         6
Vardas1068               Pavarde1068                       1         1        10        10         2         6         2         6
Vardas1069               Pavarde1069                       1         5         2         5         3         4        10         8
Vardas1070               Pavarde1070                       5         1         6         5         3         8         1         3
Vardas1071               Pavarde1071                      10         2         9         4         8         7         9         8
Vardas1072               Pavarde1072                       6         5         1         5         3         2         4         6
Vardas1073               Pavarde1073                       2         7         2         8         9         4         1         1
Vardas1074               Pavarde1074                       6         4         6         1         3         9         2         4
Vardas1075               Pavarde1075                       4         9         9         8         4         3         6         3
Vardas1076               Pavarde1076                       7         9         1         3         1         9         6        10
Vardas1077               Pavarde1077                       5        10         3        10         6         2        10         8
Vardas1078               Pavarde1078                       9         9         5         4         2         7         9         4
Vardas1079               Pavarde1079                       9         3         7         8         3         2         5        10
Vardas1080               Pavarde1080                       8         4         5         3         1         4         1         6
Vardas1081               Pavarde1081                       6         9         7         9         9         3        10         1
Vardas1082               Pavarde1082                       1         7        10         9         6         7         4         6
Vardas1083               Pavarde1083                       9         3         1         2         2        10         8        10
Vardas1084               Pavarde1084                       1         8         3         3         9         6         9         2
Vardas1085               Pavarde1085                       1        10         8         3        10         7         1         1
Vardas1086               Pavarde1086                       2         6         4         9         8         4         4        10
Vardas1087               Pavarde1087                       5         5         6         2         8        10         4         8
Vardas1088               Pavarde1088                       1         5         3         4         5         2         5         6
Vardas1089               Pavarde1089                      10         6         5         7         6         7         7         2
Vardas1090               Pavarde1090                       2        10         7         1         5        10         2         4
Vardas1091               Pavarde1091                       7         3         1         2         6         2         6         1
Vardas1092               Pavarde1092                       8         5         8         1         3         7         1        10
Vardas1093               Pavarde1093                       6         3         1         7         5         5         8         6
Vardas1094               Pavarde1094                       4         4         9         2         2         5         4         4
Vardas1095               Pavarde1095                       6         4         9         1         8         5         6         9
Vardas1096               Pavarde1096                       6         5         6         7         6         4         7         8
Vardas1097               Pavarde1097                       1         5         2         6         6         7         8         1
Vardas1098               Pavarde1098                       3         9         2        10         2         9         3         7
Vardas1099               Pavarde1099                       9         9         1         6        10         6         3         2
Vardas1100               Pavarde1100                       7         7         6         4         5         8        10         5
Vardas1101               Pavarde1101                       3        10         5         6         1         2        10         9
Vardas1102               Pavarde1102                       7         7         2         2         1         4         9         8
Vardas1103               Pavarde1103                       3         7         8         4         9         8         3         4
Vardas1104               Pavarde1104                       4         9         4         3         4         5         6         5
Vardas1105               Pavarde1105                       5        10         6         8         8         9         2        10
Vardas1106               Pavarde1106                       3        10         6         2         3         2         8         1
Vardas1107               Pavarde1107                       3         7         2         4         2         1         7         2
Vardas1108               Pavarde1108                      10         9         9        10         9        10         5         2
Vardas1109               Pavarde1109                       2         6         3         9         4         7         5         3
Vardas1110               Pavarde1110                       3         7         1         5         3        10         8         8
Vardas1111               Pavarde1111                       4         6         3         7         3         9         1        10
Vardas1112               Pavarde1112                       1         2         5         8         4        10         4         5
Vardas1113               Pavarde1113                       8         6         7         7         8         5         3         2
Vardas1114               Pavarde1114                       9         2        10         9         1         6         9         8
Vardas1115               Pavarde1115                       3         4        10         5         9         6         6         5
Vardas1116               Pavarde1116                       7         7         4         2         2         8         8         7
Vardas1117               Pavarde1117                       7         7         8         1         4         8         9         9
Vardas1118               Pavarde1118                       5         5         2         3         6         1         4         9
Vardas1119               Pavarde1119                       9         6         9         3         7         4         3         1
Vardas1120               Pavarde1120                       3         9         3         8        10         8         8         5
Vardas1121               Pavarde1121                       9         7         1         2         1         1         9         5
Vardas1122               Pavarde1122                       4         6         1         6         3         8        10         1
Vardas1123               Pavarde1123                       9         2         8         1         7         1        10         6
Vardas1124               Pavarde1124                       8         1         7         8         5         1         6        10
Vardas1125               Pavarde1125                       1         8         1         3         1         5         7         8
Vardas1126               Pavarde1126                       1         2         4         4        10         3         7         9
Vardas1127               Pavarde1127                       9         2         2         9         1         1         2         7
Vardas1128               Pavarde1128                       9         9         6         7         1         9         1         5
Vardas1129               Pavarde1129                       1        10         3        10         3         6         8         8
Vardas1130               Pavarde1130                       7        10         5         1        10         7         8         5
Vardas1131               Pavarde1131                       7         5         3         6         3        10         4         4
Vardas1132               Pavarde1132                       2        10         6         5         2         6         1         6
Vardas1133               Pavarde1133                       4         3        10         7         7         4         6         4
Vardas1134               Pavarde1134                       1         7         1         8         2         4         4         1
Vardas1135               Pavarde1135                       3         5        10         1         7         4         6         1
Vardas1136               Pavarde1136                       4         7         4         1         6         2         4        10
Vardas1137               Pavarde1137                       6         5         9         6         7         1         3         1
Vardas1138               Pavarde1138                       7         6         8         4         2        10         3         1
Vardas1139               Pavarde1139                       8         7         5         1         5         9         2         8
