Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5      Egz.
Vardas532                Pavarde532                        8         5         6         6         5         9
Vardas533                Pavarde533                        5         3         9         3         4        10
Vardas534                Pavarde534                        3         9         8        10         2         6
Vardas535                Pavarde535                        6         9         2         4         5         6
Vardas536                Pavarde536                        7         5        10         1         7        10
Vardas537                Pavarde537                        7         5         7         3         3         7
Vardas538                Pavarde538                        9         6         6         5         6         4
Vardas539                Pavarde539                        8         7         4         2         3        10
Vardas540                Pavarde540                        5         5        10         8         2         4
Vardas541                Pavarde541                        5        10         1         1         7         4
Vardas542                Pavarde542                        7         4         8        10         1         4
Vardas543                Pavarde543                        8         4         1         4         1        10
Vardas544                Pavarde544                        2         1         1         5         7         3
Vardas545                Pavarde545                        7         1         6        10         1         3
Vardas546                Pavarde546                        2         2         4        10         5        10
Vardas547                Pavarde547                        3         2         9         5         6         5
Vardas548                Pavarde548                        4         2         1         1         4        10
Vardas549                Pavarde549                        4        10         1         2         5        10
Vardas550                Pavarde550                        3         2        10         8         2         2
Vardas551                Pavarde551                        8         1         6         3         9         8
Vardas552                Pavarde552                        6         3        10         5         6         2
Vardas553                Pavarde553                        6         7         9         4         2         6
Vardas554                Pavarde554                        6         3         7         4         2         3
Vardas555                Pavarde555                        9         3         4         1         5         4
Vardas556                Pavarde556                        9        10         1         2         5         6
Vardas557                Pavarde557                       10         4         6         3         3         1
Vardas558                Pavarde558                        6        10         5         6         7         6
Vardas559                Pavarde559                        5        10         2         8         3         5
Vardas560                Pavarde560                        4         7         3         1        10         4
Vardas561                Pavarde561                       10         9         7         3         5         7
Vardas562                Pavarde562                        5         4        10         2        10         9
Vardas563                Pavarde563                       10         4        10         1         7         9
Vardas564                Pavarde564                        7         6         2         5         9         7
Vardas565                Pavarde565                        9         8         1         5        10         5
Vardas566                Pavarde566                        1         8         7         9         3         7
Vardas567                Pavarde567                        8         8         9         5         5         1
Vardas568                Pavarde568                        7         2         1         5        10         3
Vardas569                Pavarde569                       10         2         6         8         2         3
Vardas570                Pavarde570                        1         9         3        10         1         1
Vardas571                Pavarde571                        6         5         4         7         2         2
Vardas572                Pavarde572                        5         3         3         6         1         7
Vardas573                Pavarde573                        5         2         5         2         5        10
Vardas574                Pavarde574                       10         3         1         9        10        10
Vardas575                Pavarde575                       10         6         7         5         3         7
Vardas576                Pavarde576                        3         4         5         9         3         6
Vardas577                Pavarde577                        6         9         5         2         4         4
Vardas578                Pavarde578                        3         3         7         4         8         5
Vardas579                Pavarde579                        9         5         6         6         9         5
Vardas580                Pavarde580                        8         4         1        10         9        10
Vardas581                Pavarde581                       10         4         6         2         4         5
Vardas582                Pavarde582                       10         9         5         6         7         5
Vardas583                Pavarde583                       10         4         6         8         9         4
Vardas584                Pavarde584                        1         6         6         3         7        10
Vardas585                Pavarde585                       10         4         1         1         1         5
Vardas586                Pavarde586                        1         6         4        10         6         8
Vardas587                Pavarde587                        6         6         1        10         5         1
Vardas588                Pavarde588                        1         8         9         6         4         9
Vardas589                Pavarde589                        1         3         6        10         7         9
Vardas590                Pavarde590                        4        10         3         6         5         2
Vardas591                Pavarde591                        2         5         5         1         3         9
Vardas592                Pavarde592                        6         4         8         5        10         2
Vardas593                Pavarde593                        1         7        10         8         2         8
Vardas594                Pavarde594                        7         1         4         6         7         7
Vardas595                Pavarde595                        2         4         2        10         6         6
Vardas596                Pavarde596                        5         4         7         9         8         7
Vardas597                Pavarde597                        4         7        10         6         8         5
Vardas598                Pavarde598                        7         4         6         3         3         2
Vardas599                Pavarde599                        5         4         7        10         4         8
Vardas600                Pavarde600                        5         1         8         9         7         1
Vardas601                Pavarde601                        6         3         3         2         8         7
Vardas602                Pavarde602                        4         1         3         2         6         3
Vardas603                Pavarde603                        3         6         4         5         7         5
Vardas604                Pavarde604                        2         9         8         8         4         8
Vardas605                Pavarde605                        4         8         8         6         8         2
Vardas606                Pavarde606                       10         8         7         5         8         1
Vardas607                Pavarde607                        5         4         7         2         6         4
Vardas608                Pavarde608                        8         6         9         2         8         5
Vardas609                Pavarde609                        2         4         2         3         6         5
Vardas610                Pavarde610                        6         5         2         5         1         3
Vardas611                Pavarde611                       10         8         8         3         8         3
Vardas612                Pavarde612                        8         2         3         7         1         1
Vardas613                Pavarde613                        8         2         3         6         5         4
Vardas614                Pavarde614                        7         8         3         1         9         2
Vardas615                Pavarde615                        6         9        10         3         9         5
Vardas616                Pavarde616                        7         6         5        10         1         3
Vardas617                Pavarde617                        2         4        10         9         1         9
Vardas618                Pavarde618                        7         2         9         1         7         1
Vardas619                Pavarde619                        5         1        10         6         4         3
Vardas620                Pavarde620                       10         9        10         8         3         9
Vardas621                Pavarde621                        2         7         9         2         6         8
Vardas622                Pavarde622                        5        10         4         3         9         9
Vardas623                Pavarde623                        4         2         5         3         9         1
Vardas624                Pavarde624                       10         7        10         9         7         8
Vardas625                Pavarde625                        2         7         6         2         1        10
Vardas626                Pavarde626                        6         8         8         2        10         8
Vardas627                Pavarde627                        4         9         5        10         9         9
Vardas628                Pavarde628                        9         3         9         2        10         9
Vardas629                Pavarde629                        5         1         8         5         9        10
Vardas630                Pavarde630                       10        10         9         3         7         9
Vardas631                Pavarde631                        7         4        10         5         7         3
Vardas632                Pavarde632                        4         1         3         1         9         7
Vardas633                Pavarde633                        4         1         7         5         4         2
Vardas634                Pavarde634                        5         2         2         6         8         1
Vardas635                Pavarde635                       10         5         7         6         5         3
Vardas636                Pavarde636                        2         8         5         9         9         9
Vardas637                Pavarde637                       10        10         3         6         2        10
Vardas638                Pavarde638                        9         1         1         8         5         9
Vardas639                Pavarde639                        1         1        10         3         5         6
Vardas640                Pavarde640                        6         1         5         2         9         3
Vardas641                Pavarde641                        9         5         3         1        10         3
Vardas642                Pavarde642                        3         5         8        10        10         1
Vardas643                Pavarde643                        9        10         7         1         3         6
Vardas644                Pavarde644                        7         9         5         3         9         9
Vardas645                Pavarde645                        8         4         6         3         2         6
Vardas646                Pavarde646                        2         2         3         9         9         9
Vardas647                Pavarde647                        6         1         9         7         2        10
Vardas648                Pavarde648                        6         9         1         9         9        10
Vardas649                Pavarde649                        2         8         7         5         5         9
Vardas650                Pavarde650                        6         4        10         3        10         5
Vardas651                Pavarde651                        9         4         6         2         7         9
Vardas652                Pavarde652                        5         8         3         8        10         7
Vardas653                Pavarde653                        8         2        10         3         7         2
Vardas654                Pavarde654                        4         5         2         7         8         6
Vardas655                Pavarde655                        2         4         1        10         3         7
Vardas656                Pavarde656                        1         9         9        10         5         2
Vardas657                Pavarde657                        9         5         5         5         3        10
Vardas658                Pavarde658                        1         5         2         6         2         6
Vardas659                Pavarde659                        9         9         7         4         4         2
Vardas660                Pavarde660                        1         3         2        10         5         7
Vardas661                Pavarde661                        5         3         2         6         6         8
Vardas662                Pavarde662                        3         3         7         5         1         7
Vardas663                Pavarde663                       10         8        10         9         3         7
Vardas664                Pavarde664                        1         8         8         3        10         9
Vardas665                Pavarde665                        9         6         6         2         9        10
Vardas666                Pavarde666                        5        10         9         1         4         2
Vardas667                Pavarde667                        2         8         5         1         5         4
Vardas668                Pavarde668                        5         3         4         8         6         3
Vardas669                Pavarde669                        1        10        10         9         6        10
Vardas670                Pavarde670                        2         4         8         3         2         3
Vardas671                Pavarde671                        8         2         4         5         7         4
Vardas672                Pavarde672                        2         2         4         8         1         9
Vardas673                Pavarde673                        6         3         3         5         1         7
Vardas674                Pavarde674                       10        10         8         2         9         8
Vardas675                Pavarde675                        8         4         4         6         7        10
Vardas676                Pavarde676                        2         5         2         2         6         3
Vardas677                Pavarde677                        1         4         3         7         1        10
Vardas678                Pavarde678                        4         7         9         4         7        10
Vardas679                Pavarde679                        5         6         5         7         5         1
Vardas680                Pavarde680                       10         3         7         6         9         7
Vardas681                Pavarde681                        7         5         9         8         1         7
Vardas682                Pavarde682                        5         2         5         7         1         3
Vardas683                Pavarde683                        8         1         1         1         6        10
Vardas684                Pavarde684                        2         8        10         6         8         1
Vardas685                Pavarde685                        9         1         3         9         6         7
Vardas686                Pavarde686                        6        10         5         8         6         8
Vardas687                Pavarde687                       10         7         6         7         7         9
Vardas688                Pavarde688                       10         5         3         6         2        10
Vardas689                Pavarde689                        6         3         1         9         9         7
Vardas690                Pavarde690                        1         6         2         5         4         2
Vardas691                Pavarde691                        6         9         3         6         3         2
Vardas692                Pavarde692                        3         3         1         8         2         9
Vardas693                Pavarde693                       10         4         2         3         9         2
Vardas694                Pavarde694                        7         7         7         6         2         1
Vardas695                Pavarde695                        3         9         6         2         9         3
Vardas696                Pavarde696                        6         2         8         4         2         7
Vardas697                Pavarde697                        7         7         3         3         6         8
Vardas698                Pavarde698                        3         8         6         7         4         4
Vardas699                Pavarde699                        9         5         5         5         6        10
Vardas700                Pavarde700                        5         8         7         7         8         6
Vardas701                Pavarde701                        7         4         3         1         4         4
Vardas702                Pavarde702                        3         4         4         3         7         5
Vardas703                Pavarde703                       10         3         9         2        10        10
Vardas704                Pavarde704                        2         3         7         8        10         5
Vardas705                Pavarde705                        5         6         6         8         1         3
Vardas706                Pavarde706                        4         2        10         7         1         7
Vardas707                Pavarde707                        2         9        10         7         1         4
Vardas708                Pavarde708                        7         7         4         1         7         3
Vardas709                Pavarde709                        8         3         9        10        10         8
Vardas710                Pavarde710                       10         4        10         9         1         4
Vardas711                Pavarde711                        7         5         8         6         9         8
Vardas712                Pavarde712                        2         5         9         7        10         8
Vardas713                Pavarde713                        2         2         2        10         2         3
Vardas714                Pavarde714                        8        10         1         2        10         1
Vardas715                Pavarde715                        7         3         1         9         8         1
Vardas716                Pavarde716                        6         9        10         9         8         9
Vardas717                Pavarde717                        8         3         3         5         4         2
Vardas718                Pavarde718                        8         2         8         7         9         2
Vardas719                Pavarde719                        2         8         4         4         9         9
Vardas720                Pavarde720                        9         6         9         8         8         5
Vardas721                Pavarde721                        5         3         2         5         6        10
Vardas722                Pavarde722                        1         4         4         7         7         1
Vardas723                Pavarde723                       10        10         8         4         8         5
Vardas724                Pavarde724                        8         2         7         4         7         5
Vardas725                Pavarde725                       10         8         1         3         6         9
Vardas726                Pavarde726                        1         7        10         4         8         6
Vardas727                Pavarde727                        1         2        10        10         1         4
Vardas728                Pavarde728                        2         3         7         3         3         5
Vardas729                Pavarde729                        6         4         4         6         9         8
Vardas730                Pavarde730                        8         5         4         7         4         4
Vardas731                Pavarde731                        1         1         3         7         5         4
Vardas732                Pavarde732                        1         7         4         3         3        10
Vardas733                Pavarde733                        3         5         5         2         3         3
Vardas734                Pavarde734                        6         4        10         8         4         8
Vardas735                Pavarde735                        4         7         8         7         8         1
Vardas736                Pavarde736                        9         3         3         2        10         9
Vardas737                Pavarde737                        8        10         8        10         6         4
Vardas738                Pavarde738                        6         8         1         3         9         9
Vardas739                Pavarde739                        3         9         2         9         7         6
Vardas740                Pavarde740                        4         9         3         3         4         1
Vardas741                Pavarde741                        9         4         2         7         2         1
Vardas742                Pavarde742                       10         1         3         1         3         8
Vardas743                Pavarde743                        6         2         4         2        10         5
Vardas744                Pavarde744                        6        10         7         4         2        10
Vardas745                Pavarde745                        9         4         6         7         5         5
Vardas746                Pavarde746                        1         6         1        10        10         7
Vardas747                Pavarde747                        3         1         7        10        10         9
Vardas748                Pavarde748                        6         4         8         9         4         4
Vardas749                Pavarde749                        4        10         1         9         2         8
Vardas750                Pavarde750                        8         4         8         8         6         1
Vardas751                Pavarde751                        1         7         5         1         6         7
Vardas752                Pavarde752                        2        10         7         1         7         8
Vardas753                Pavarde753                        9         3         4         1         8         5
Vardas754                Pavarde754                        1         7         5         2         3         3
Vardas755                Pavarde755                        2         3         6         8         7         9
Vardas756                Pavarde756                        3         5         8         9         9         6
Vardas757                Pavarde757                        5         8        10        10         8         5
Vardas758                Pavarde758                       10         3         5         1         9         4
Vardas759                Pavarde759                       10         4         8         7         5         1
Vardas760                Pavarde760                        7         3         6         1         7         2
Vardas761                Pavarde761                        2         5         8         7         1        10
Vardas762                Pavarde762                        6         2         6         9         8         4
Vardas763                Pavarde763                        9         8         4         2         6        10
Vardas764                Pavarde764                        2         1         5         9         7         3
Vardas765                Pavarde765                        9         9        10         8         8         1
Vardas766                Pavarde766                        8         8         3        10         7         9
Vardas767                Pavarde767                        1         3         4         5         4         2
Vardas768                Pavarde768                        4         7         4         9         3         8
Vardas769                Pavarde769                        4         4         5         1         8         3
Vardas770                Pavarde770                        7        10         9         5         9         5
Vardas771                Pavarde771                        4         7         7         6         7         7
Vardas772                Pavarde772                        1         2         2         3         6         3
Vardas773                Pavarde773                        5         6         1         2         8         8
Vardas774                Pavarde774                        7         4         2         9         1         8
Vardas775                Pavarde775                        9         6         8         4         7         2
Vardas776                Pavarde776                        6         6         6         1         1         3
Vardas777                Pavarde777                        3         1         5         1        10         3
Vardas778                Pavarde778                        9         6         6         8         5         3
Vardas779                Pavarde779                       10         2         7         8         3         4
Vardas780                Pavarde780                        7         3         9         7         9         7
Vardas781                Pavarde781                        4         4         7        10         6         9
Vardas782                Pavarde782                        8         2         5         5         7         7
Vardas783                Pavarde783                        4         2         4         8         5         4
Vardas784                Pavarde784                        6         5         4         9         3        10
Vardas785                Pavarde785                        7         8         7         4         2        10
Vardas786                Pavarde786                        5         3         7         5         9         8
Vardas787                Pavarde787                        4         4         9         8         1         3
Vardas788                Pavarde788                        8         2         2         2         3         8
Vardas789                Pavarde789                        5         4         8         5         5         7
Vardas790                Pavarde790                        3         1         8         7         3         6
Vardas791                Pavarde791                        6         5         4         9         5         6
Vardas792                Pavarde792                       10         9         8         6         1         2
Vardas793                Pavarde793                        8         2         6         9         3         3
Vardas794                Pavarde794                        9         9         3         4        10         3
Vardas795                Pavarde795                       10        10         3         4         9         9
Vardas796                Pavarde796                        6         5         7         8        10         9
Vardas797                Pavarde797                        2         3         5         1         1         2
Vardas798                Pavarde798                       10         9         2         9         5         3
Vardas799                Pavarde799                        3        10         4        10        10         3
Vardas800                Pavarde800                        3         2         4        10        10         5
Vardas801                Pavarde801                        6         5         5         7         7         4
Vardas802                Pavarde802                       10         5         4         8         2         6
Vardas803                Pavarde803                        6         8         8         6        10         2
Vardas804                Pavarde804                        6         3         5         9         9         9
Vardas805                Pavarde805                        1         3         9         9         1         1
Vardas806                Pavarde806                        7        10         7         1        10         4
Vardas807                Pavarde807                       10         7         7         9        10         7
Vardas808                Pavarde808                        6         8         5         8         3        10
Vardas809                Pavarde809                        5         4         2         9         4         2
Vardas810                Pavarde810                        9         3         7        10         8        10
Vardas811                Pavarde811                        2         5        10         5         1        10
Vardas812                Pavarde812                        9         1         6         2         7         9
Vardas813                Pavarde813                        6         3         2         3         4         6
Vardas814                Pavarde814                        2         8         9        10         7         7
Vardas815                Pavarde815                        8         9         5         7         5        10
Vardas816                Pavarde816                        3         9        10         2         2         3
Vardas817                Pavarde817                        9         2         8         5         6         8
Vardas818                Pavarde818                        3         5         1         5         2         8
Vardas819                Pavarde819                        7         8         5        10         3         3
Vardas820                Pavarde820                        8         9         6         7         4         2
Vardas821                Pavarde821                       10         7         5         6         6         2
Vardas822                Pavarde822                        5         7         1        10         8         3
Vardas823                Pavarde823                        7         2         8         8         9         1
Vardas824                Pavarde824                        5         5         8        10         8         8
Vardas825                Pavarde825                        8         3         7        10         4         9
Vardas826                Pavarde826                        8         7         7         7         9         3
Vardas827                Pavarde827                        7         7         4         1         6         3
Vardas828                Pavarde828                        7         4         2         3         3        10
Vardas829                Pavarde829                        9        10        10         8         4         2
Vardas830                Pavarde830                        8         5         8         8         7         5
Vardas831                Pavarde831                        7         8         8         1        10         7
Vardas832                Pavarde832                        8        10         6        10         1        10
Vardas833                Pavarde833                        9         6         5         5         3         5
Vardas834                Pavarde834                        3         5         8         5         5         3
Vardas835                Pavarde835                        9         1         5         8         2         3
Vardas836                Pavarde836                        6         1         7         2         6         1
Vardas837                Pavarde837                        9         2        10         6         2        10
Vardas838                Pavarde838                        8         9         1        10        10         4
Vardas839                Pavarde839                        8         2         4         8         3         6
Vardas840                Pavarde840                        8         6         7        10        10         9
Vardas841                Pavarde841                        9         2        10         7         5         8
Vardas842                Pavarde842                        5         3         4         1         2         4
Vardas843                Pavarde843                        8         4         5        10         3         1
Vardas844                Pavarde844                        6         2         9         1         7         4
Vardas845                Pavarde845                       10         6         8         7         5         9
Vardas846                Pavarde846                        9         1         8         1         3         8
Vardas847                Pavarde847                        3         7         9         4         4         5
Vardas848                Pavarde848                        8         1         8         9         5        10
Vardas849                Pavarde849                        8        10         2        10         6         7
Vardas850                Pavarde850                        5         5        10         6         6         4
Vardas851                Pavarde851                        1         1         6        10         2         1
Vardas852                Pavarde852                        7         3         6         2         6         5
Vardas853                Pavarde853                        6         1         9         4         9         5
Vardas854                Pavarde854                        1         9         9         5         8         2
Vardas855                Pavarde855                        1         1         1         5         3         1
Vardas856                Pavarde856                        9         7         8         1        10         9
Vardas857                Pavarde857                        4         5        10        10         3        10
Vardas858                Pavarde858                        1         8         2         8         4         4
Vardas859                Pavarde859                        2         2         8         3         1         8
Vardas860                Pavarde860                        8         5         3         9         9        10
Vardas861                Pavarde861                        1         1         3         7         9         5
Vardas862                Pavarde862                        3         7         2         7         9         5
Vardas863                Pavarde863                        6         4         8         5         5         1
Vardas864                Pavarde864                        6        10         6         7         5         5
Vardas865                Pavarde865                        8        10         8         8         5         2
Vardas866                Pavarde866                       10         3         8         9        10         5
Vardas867                Pavarde867                        7         8         1        10         2         7
Vardas868                Pavarde868                        5         5         6         8         4         8
Vardas869                Pavarde869                        4         8        10         4        10         9
Vardas870                Pavarde870                        1         3         7         7         5         9
Vardas871                Pavarde871                       10         6         7         4         6         1
Vardas872                Pavarde872                        3         8         8         2        10         3
Vardas873                Pavarde873                        9        10         4         1         9         4
Vardas874                Pavarde874                        1         7         3         2         8         3
Vardas875                Pavarde875                        6         1         1         3         1         2
Vardas876                Pavarde876                        7         1        10         8         1         6
Vardas877                Pavarde877                        2         4         4         8        10         7
Vardas878                Pavarde878                        7         3         7         8         6         4
Vardas879                Pavarde879                        7         9         6         9         5         4
Vardas880                Pavarde880                        8         5         6         2         2         8
Vardas881                Pavarde881                        5         9         6         8         2         3
Vardas882                Pavarde882                        7         1         5         8         9         2
Vardas883                Pavarde883                        3         5         2         2         4         7
Vardas884                Pavarde884                        7         5         4         5         9         7
Vardas885                Pavarde885                        3         6         5         8         8         7
Vardas886                Pavarde886                        4        10         2         5         5         6
Vardas887                Pavarde887                        9         1         4         8         3         1
Vardas888                Pavarde888                        8         6         5         5         5         5
Vardas889                Pavarde889                        3         2        10         5         7        10
Vardas890                Pavarde890                        8         5         2         2         9         1
Vardas891                Pavarde891                        3         6         6        10         8         8
Vardas892                Pavarde892                        5         4         6         7         6         5
Vardas893                Pavarde893                        8         6         2         8         8         4
Vardas894                Pavarde894                        4         9         7         6        10         8
Vardas895                Pavarde895                        8         3         6        10         3         3
Vardas896                Pavarde896                        9         4         6         8         7        10
Vardas897                Pavarde897                        4         4         7         3         6         5
Vardas898                Pavarde898                        1         4         3         3         3         2
Vardas899                Pavarde899                        2         2        10         4         7        10
Vardas900                Pavarde900                        7        10         5         2         4         4
Vardas901                Pavarde901                        6         2         6         2         2         5
Vardas902                Pavarde902                        6         9         3         8         3         9
Vardas903                Pavarde903                        8         3         6         2         6         5
Vardas904                Pavarde904                        6        10         4         3         7         4
Vardas905                Pavarde905                        8         4         4         6         6         1
Vardas906                Pavarde906                        4         7         9         1         6         5
Vardas907                Pavarde907                        4         9         1         2         7         8
Vardas908                Pavarde908                        2         6         8         2         7         5
Vardas909                Pavarde909                        8         3         8         1         8         9
Vardas910                Pavarde910                        8         7         4         8         1         3
Vardas911                Pavarde911                        6         1         7         5         4         5
Vardas912                Pavarde912                        8         4         4        10         6         8
Vardas913                Pavarde913                       10         3         3         3         4         5
Vardas914                Pavarde914                        1         8         7         9         8         3
Vardas915                Pavarde915                        2         9         1         8         7         9
Vardas916                Pavarde916                       10         4         9         9         1         1
Vardas917                Pavarde917                        2         1         4         6        10         7
Vardas918                Pavarde918                        6         9         3         5         5        10
Vardas919                Pavarde919                        4         4        10         2        10         1
Vardas920                Pavarde920                       10        10         8         2         4         8
Vardas921                Pavarde921                        7         8         4         1         4         2
Vardas922                Pavarde922                        8         1         5         3         4         3
Vardas923                Pavarde923                        2         1         6         4         7         9
Vardas924                Pavarde924                        6         2         6         7         8         7
Vardas925                Pavarde925                       10         1         5         7         9         4
Vardas926                Pavarde926                        8         5         8         6         1         7
Vardas927                Pavarde927                        8         7         8         3         8        10
Vardas928                Pavarde928                        9         1         7         6         9         4
Vardas929                Pavarde929                        6         6         3        10         6         7
Vardas930                Pavarde930                        1         7         4         2         4        10
Vardas931                Pavarde931                        5         4         9         5         8         2
Vardas932                Pavarde932                        2         7         2         9         6        10
Vardas933                Pavarde933                        5         1         1         4         6         1
Vardas934                Pavarde934                        4        10         2         1         8         1
Vardas935                Pavarde935                        3        10         6         9        10         7
Vardas936                Pavarde936                        6         8         7         8         9         1
Vardas937                Pavarde937                        8         6         8         8         4         5
Vardas938                Pavarde938                        9         7         8         6        10         6
Vardas939                Pavarde939                        1         8         5         3        10         4
Vardas940                Pavarde940                        6        10         7         8         6         5
Vardas941                Pavarde941                        8        10         3         8         9         7
Vardas942                Pavarde942                        1         8        10         5         3         8
Vardas943                Pavarde943                        9        10         9         8         2         5
Vardas944                Pavarde944                        5         3         8         6         8         7
Vardas945                Pavarde945                        8         8        10         9        10         5
Vardas946                Pavarde946                        9         9         4        10         9         7
Vardas947                Pavarde947                        8         1         1         5         3         6
Vardas948                Pavarde948                        5         6         2         6         5         8
Vardas949                Pavarde949                        3         5         9         5         6         6
Vardas950                Pavarde950                        7         3         7         1         9         5
Vardas951                Pavarde951                        6         7         3         1         7         4
Vardas952                Pavarde952                        2         7         9        10         7         8
Vardas953                Pavarde953                       10         5         9         5         9         7
Vardas954                Pavarde954                        5         4         4        10         8         1
Vardas955                Pavarde955                        5         1         9         9         7         3
Vardas956                Pavarde956                        6         4         9         6         5         3
Vardas957                Pavarde957                        3         1        10         4         2         2
Vardas958                Pavarde958                        4         6         1         7         3         8
Vardas959                Pavarde959                        1         8         5         6        10         3
Vardas960                Pavarde960                       10         4         7         7         5        10
Vardas961                Pavarde961                        6         6         9         7         6         4
Vardas962                Pavarde962                        9         6         5         9         2         7
Vardas963                Pavarde963                        1         7         7         3         5        10
Vardas964                Pavarde964                        2         4         1         6         6         2
Vardas965                Pavarde965                        2         6         4        10         4         3
Vardas966                Pavarde966                        4         2         4         7         1         1
Vardas967                Pavarde967                        4         4         7         4         6         3
Vardas968                Pavarde968                        1         4         7         3         1         9
Vardas969                Pavarde969                        6        10        10         3         8         1
Vardas970                Pavarde970                        5         1         5         4        10         2
Vardas971                Pavarde971                        9         4         8         1         2         8
Vardas972                Pavarde972                        4         5         2         6         6         8
Vardas973                Pavarde973                        2         1         6         7         3         7
Vardas974                Pavarde974                        9         7         9         1         7         6
Vardas975                Pavarde975                       10         9        10         5         6         3
Vardas976                Pavarde976                        7        10         2        10         6         4
Vardas977                Pavarde977                        8        10         4         7         7         8
Vardas978                Pavarde978                        2         5         6         7         9         7
Vardas979                Pavarde979                        6         9         6        10         9         5
Vardas980                Pavarde980                        7         9         1         5         7         9
Vardas981                Pavarde981                        6         2         8         2         5         3
Vardas982                Pavarde982                        6         9         6         5         6         5
Vardas983                Pavarde983                        1         9         6         5         9         7
Vardas984                Pavarde984                        3         6         3         5         4         1
Vardas985                Pavarde985                        7         7         2        10         9         8
Vardas986                Pavarde986                        4         4         1         6         9         8
Vardas987                Pavarde987                        5         7         4         5         7         5
Vardas988                Pavarde988                        8         1         3         3         9         6
Vardas989                Pavarde989                        6        10         1         4         4        10
Vardas990                Pavarde990                        5         2         6         2        10         5
Vardas991                Pavarde991                        9         1         9         3         9         9
Vardas992                Pavarde992                        9         3         9         7         8         2
Vardas993                Pavarde993                        5         3         7         4         1         3
Vardas994                Pavarde994                        1         4         4         1         2         8
Vardas995                Pavarde995                        5         1         7         5         2         3
Vardas996                Pavarde996                        9         3        10         9         2         6
Vardas997                Pavarde997                        4         6         4         2         1         6
Vardas998                Pavarde998                        3         7         8         5         4         8
Vardas999                Pavarde999                       10         4         8         5         4         5
Vardas1000               Pavarde1000                       4         7         9         8         6         3
